Reference	Year	Sample.ID	SiO2.liq	TiO2.liq	Al2O3.liq	FeOt.liq	MnO.liq	MgO.liq	CaO.liq	Na2O.liq	K2O.liq	Cr2O3.liq	P2O5.liq	H2O.liq	SiO2.cpx	TiO2.cpx	Al2O3.cpx	FeOt.cpx	MnO.cpx	MgO.cpx	CaO.cpx	Na2O.cpx	K2O.cpx	Cr2O3.cpx	P_GPa	T_K
"Bender, J.F., Hodges, F.N., Bence, A.E. (1978)"	1978	71	48.8	0.62	18.8	9.97	0.1	8.51	10.9	2.39	0.08				50.1	0.28	8.87	6.17	0.09	17.9	15.8	0.51		0.19	1.5	1603.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	10166	56.44	0.34	19.19	1.84	0.07	0.1	2.41	4.94	6.87			7.77	44.7	2.24	7.38	14.27	0.57	6.94	22.66	0.63	0.48		0.2	1153.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	10532	61.14	0.45	20.65	1.94	0.08	0.14	2.22	5.99	7.38				44	2.35	8.11	15.01	0.62	6.3	21.76	0.79	0.49		0.2	1153.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	11504	56.97	0.39	19.08	1.63	0.14	0.2	2.36	5.02	7.26			6.96	44.2	1.89	8.18	11.9	0.47	8.77	22.53	0.73	0.32		0.2	1153.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	11870	60.95	0.52	20.31	2.11	0.07	0.26	0.21	5.37	8.2				44	2.96	7.67	12.62	0.61	7.9	22.68	0.83	0.34		0.2	1153.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	12266	56.35	0.34	18.83	1.42	0.06	0.2	2.12	4.88	7.37			8.43	42.6	2.16	8.67	12.24	0.43	8.73	22.78	0.8	0.26		0.2	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	12631	61.69	0.49	20.36	1.49	0.11	0.21	1.99	5.58	8.09				42.4	2.29	9.11	12.92	0.55	8.14	22.25	0.99	0.3		0.2	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	15-49	57.19	0.38	19.1	1.28	0.08	0.13	1.89	4.9	6.69			8.37	45.7	1.58	6.75	13.04	0.6	8.27	22.92	0.76	0.27		0.3	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	15-50	61.56	0.35	21	1.64	0.13	0.14	1.89	6.44	6.84				45.8	1.43	6.42	13.49	0.83	7.83	22.82	0.91	0.25		0.3	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	16-51	56.6	0.43	19.2	1.54	0.15	0.26	2.57	5.12	6.72			7.43	44	1.64	7.66	11.08	0.47	9.69	22.91	0.74	0.17		0.3	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	16-52	61.68	0.46	20.09	1.49	0.15	0.26	2.16	5.87	7.84				43.7	2.05	9.02	12.09	0.59	8.31	21.97	1.07	0.45		0.3	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	17-53	56.59	0.19	19.14	1.22	0.12	0.12	2.05	4.95	6.72			8.91	43.5	1.52	8.7	12.48	0.53	8.67	22.27	1.08	0.36		0.3	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	17-54	61.94	0.24	20.91	1.34	0.11	0.1	1.47	6.29	7.61				43.2	1.73	7.91	12.91	0.73	8.64	22.14	1.2	0.18		0.3	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	18-55	55.47	0.54	18.83	2.4	0.12	0.24	3.44	4.75	6.54			7.67	44.2	2.26	7.41	12.34	0.42	8.51	23.57	0.5	0.21		0.3	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	18-56	60.41	0.51	20.39	2.47	0.08	0.22	2.81	5.67	7.43				43.7	2.34	7.25	12.91	0.48	7.99	23.62	0.56	0.21		0.3	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	41047	62.68	0.38	20.34	1.69	0.05	0.23	2.67	4.8	7.12				42	1.29	7.7	12.77	0.48	9.49	23.1	0.74	0.14		0.2	1153.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	41048	62.34	0.31	20.73	1.33	0.06	0.14	1.67	5.64	7.77				42.4	1.38	8.51	13.14	0.72	8.01	22.66	1.26	0.18		0.2	1153.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	41062	62.44	0.28	20.74	1.26	0.03	0.03	1.97	5.46	7.79				46.4	1.56	7.86	12.98	0.53	7.7	22.68	0.52	0.39		0.2	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	41063	64.24	0.4	20.2	1.38	0.13	0.06	1.95	5.1	6.53				44.9	1.59	9.04	14.48	0.7	6.51	22.77	0.83	0.13		0.2	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	41168	63.68	0.19	21.22	1.25	0.11	0.06	2.72	3.7	7.09				44.2	1.63	8	13.39	0.31	7.54	23.45	0.57	0.13		0.2	1153.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	41169	63.61	0.29	21.23	1.9	0.11	0.04	1.17	4.73	6.94				43.3	1.95	6.81	16.1	0.81	6.02	22.37	0.97	0.16		0.2	1153.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	41194	64.2	0.26	20.57	1.09	0.05	0.23	2.42	3.8	7.38				41.1	1.95	12.01	12.47	0.37	7.68	21.28	0.9	0.45		0.2	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	41195	62.54	0.34	20.4	1.3	0.11	0.14	2.12	5.01	8.04				40.9	2.24	9.72	14.33	0.58	7.63	22.57	1.08	0.18		0.2	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	41263	56.21	0.44	18.81	2.24	0.08	0.16	2.76	5.15	6.52			7.63	45.9	1.83	6.14	13.07	0.54	8.49	23.34	0.53	0.22		0.2	1113.15
"Berndt, J., Holtz, F., and Koepke, J.  (2001)"	2001	41264	61.44	0.58	20.16	1.83	0.16	0.13	2.35	6.05	7.3				43.9	2.21	7.11	13.9	0.59	7.56	22.78	0.69	0.21		0.2	1113.15
Berndt (2005)	2005	1	51.3	1.19	17.52	9.2	0.19	5.63	12.03	2.7	0.11		0.16	0.85	50.5	0.67	4.86	8.42	0.24	15.22	19.18	0.33	0.02		0.204	1373.15
Berndt (2005)	2005	2	50.9	0.92	16.79	8.04	0.15	7.74	12.78	2.47	0.1		0.1	0.38	51.4	0.51	4.9	6.33	0.14	16.31	20.63	0.33	0.01		0.206	1423.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-342-02	60.6	0.76	17.38	3.24	0.06	1.79	4.3	4.27	1.88	0.04		5.21	51.1	0.62	3.16	6.18	0.12	15.78	20.82	0.27		0.01	0.1938	1223.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-342-06	61.7	0.54	17.07	3.5	0.03	2.41	5.26	4.17	1.59	0.06		3.76	51.2	0.53	2.57	5.55	0.16	16.37	21.36	0.32		0.19	0.1098	1273.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-342-07	66.9	0.75	15.5	3.1	0.03	1.06	2.83	4.75	2.69	0.01		2.76	53.4	0.52	2.93	7.64	0.22	15.35	18.8	0.37		0.07	0.0593	1223.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-342-08	64.6	0.68	16.98	3.63	0.06	1.65	4.25	4.64	2.26	0.03		2.53	51.5	0.7	2.76	7.5	0.2	15.73	20.49	0.29		0.03	0.0548	1273.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-342-12	62.9	0.9	17.01	3.49	0.04	1.93	4.49	4.36	2.06	0.06		3.81	51.8	0.6	3	6.24	0.14	16.13	21.69	0.27		0.09	0.1069	1223.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-342-13	60.8	0.65	17.01	3.25	0.05	2.42	5.03	4.22	1.79	0.04		4.87	51.4	0.66	3.03	6.76	0.15	15.98	20.98	0.29		0.06	0.171	1248.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-342-21	60.2	0.64	16.68	3.48	0.09	2.14	4.64	4.28	1.8	0.02		5.24	53.3	0.48	2.25	5.92	0.15	16.91	20.73	0.28		0.12	0.2	1253.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-342-26	60.2	0.64	16.44	3.42	0.04	2.05	4.62	4.12	1.79	0.03		5.8	52	0.61	2.81	6.57	0.14	16.35	20.26	0.28		0.21	0.228	1203.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-342-30	64.2	0.77	15.99	2.95	0.1	0.99	3.05	4.81	2.55	0.08		3.72	51.6	0.58	2.54	5.81	0.13	16.86	20.43	0.25		0.07	0.1	1215.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-342-37	59.1	0.74	17.26	3.32	0.06	2.06	4.34	4.64	1.91			4.53	51.5	0.6	2.57	6.98	0.22	16.77	19.42	0.25		0.24	0.151	1248.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-348-01	60.4	0.61	16.73	3.42	0.06	2.14	4.63	4.03	1.98	0.02		5.45	51.8	0.26	2.43	6.05	0.17	16.51	21.33	0.33			0.209	1223.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-348-02	59.4	0.6	15.72	4.13	0.06	3.05	5.24	3.87	1.83	0.02		5.45	52.8	0.4	1.8	5.07	0.19	17.58	20.9	0.28		0.41	0.2117	1273.15
"Blatter, D.W., Carmichael, I.S.E. (2001)"	2001	Z-348-06	62.4	0.73	16.06	3.64	0.11	1.65	4.22	4.24	2.23	0.04		3.91	51.3	0.48	2.44	6.48	0.17	16.01	20.97	0.28		0.33	0.1172	1273.15
Botcharnikov (2008)	2008	1	48.8	3.7	13.84	14.08		4.93	10.01	2.97	0.35			1.9	51.7	1.47	2.99	10.85		15.17	18.63	0.25	0.01		0.2	1373.15
Botcharnikov (2008)	2008	2	50	3.07	15.19	11.27		5.8	11.12	2.7	0.31			0.8	52.7	1.06	2.54	7.52		17.3	19.44	0.26	0.03		0.2	1398.15
Botcharnikov (2008)	2008	3	50	3.72	14.59	12.78		5.14	10.16	2.95	0.38			0.6	51.5	1.75	4.37	10.4		14.44	18.18	0.4	0.05		0.2	1373.15
Botcharnikov (2008)	2008	4	48.6	4.59	13.55	15.12		4.11	8.98	2.95	0.52			2	50.6	1.93	3.83	11.21		13.33	18.85	0.35	0.05		0.2	1348.15
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)"	2002	A-12	48	0.8	16.5	7.7		12.5	11.7	2.6		0.2			51.1	0.1	8.07	3.57		17.95	17.26	0.77		1.16	1.5	1598.15
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)"	2002	A-13	48.3	0.4	15.4	8		14	12.1	1.5		0.3			51.6		7.28	3.75		19.55	15.94	0.7		1.2	1.5	1623.15
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)"	2002	A-39	49.3	0.6	16.8	7.1		11.4	12.8	1.8		0.2			51.5		6.8	3.63		18.05	18.5	0.5		1.07	1	1548.15
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)"	2002	A-47	49.9	0.5	17.1	6.9		10.6	13	1.8		0.2			52.2	0.37	6.3	3.2		16.74	19.1	1.25		0.88	0.75	1523.15
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)"	2002	A-6	49.2	0.6	17.7	6.9		10.6	12.5	2.5		0.2			51.4	0.3	7.1	3.5		16.4	19.6	0.9		0.84	1	1533.15
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)"	2002	A-7	49.5	0.5	16.1	7.2		12.2	12.7	1.6		0.2			51.8		6.36	3.52		18.8	17.75	0.4		1.35	1	1563.15
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)"	2002	B-15	49.6	0.7	16.1	7.2		11.3	12.7	2.1		0.3			51.9		5.97	3.54		18	18.54	0.42		1.6	1	1558.15
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)"	2002	B-37	50.4	0.6	16.2	6.6		10.7	13.2	2.1		0.2			51.9	0.3	6.11	3.24		16.95	19.6	0.7		1.2	0.75	1533.15
"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002)"	2002	B-38	50	0.5	14.7	7.5		12.2	13	1.8		0.3			52.1		5.63	3.69		18.88	17.77	0.31		1.61	1	1573.15
Conte et al. (2009)	2009	1	49.31	0.82	16.5	8.2	0.26	7.1	9.5	2.1	5.7	0	0.49	0	48.63	0.62	8.02	5.61	0.15	14.19	22.59	0.42	0	0	0.0001	1493.5
Conte et al. (2009)	2009	2	49.16	0.79	16.02	7.51	0.19	8.11	10.31	2.1	5.31	0	0.49	0	49.56	0.42	5.76	5.03	0.18	15.53	22.96	0.37	0	0	0.0001	1523.5
Conte et al. (2009)	2009	3	49.42	0.79	17.91	8.1	0.2	6.3	7.8	2.4	6.6	0	0.46	0	48.52	0.61	6.69	5.73	0.11	14.36	22.45	0.43	0	0	0.0001	1493.5
Conte et al. (2009)	2009	4	49.88	1	17.39	6	0.25	5.3	11.2	2.5	6	0	0.49	0	48.52	0.66	6.93	5.54	0.08	14.58	23.26	0.22	0	0	0.0001	1433.5
Conte et al. (2009)	2009	5	49.41	0.68	18	5.4	0.24	5.7	10.2	3.5	6.3	0	0.56	0	44.94	0.81	8.84	9.1	0.08	12.21	24.21	0.3	0	0	0.0001	1433.5
Conte et al. (2009)	2009	6	48.01	0.83	17.31	6.3	0.44	5.8	11.6	3.1	5.8	0	0.8	0	48.13	0.71	7.83	5.07	0	14.59	24.22	0.24	0	0	0.0001	1433.5
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)"	2001	S-11	50.6	1.12	8.8	19.4	0.46	6.15	10.6	1.03	0.18	0.09	0.97		52.8	0.15	0.68	19.5	0.59	21.7	3.84	0.04		0.35	0.0001	1373.15
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)"	2001	S-18	51.2	1.21	9.64	18.9	0.43	5.26	10.7	1.07	0.17	0.05	0.99		52.4	0.15	0.74	20.2	0.67	19.7	5.14	0.03		0.37	0.1	1253.15
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)"	2001	S-19	51.1	1.32	10.8	18.2	0.41	3.83	10.3	1.45	0.22	0.05	0.83		52	0.17	1.12	22.3	0.61	17.9	5.82	0.02		0.18	0.2	1233.15
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)"	2001	S-20	50.7	0.94	7.45	18.58	0.68	6.08	11.29	0.71	0.14	0.03	0.78		52.5	0.16	0.64	12.7	0.7	17.2	14.8	0.04		0.32	0.2	1273.15
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)"	2001	S-21	51.5	1.04	8.29	18.87	0.66	5.38	11.16	0.87	0.15	0.06	0.84		52.7	0.13	0.64	18.6	0.85	19.3	7.11	0.04		0.33	0.2	1330.15
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)"	2001	S-22	56.5	0.68	13.22	11.13	0.34	2.51	7.92	1.67	0.34	0.02	0.77	4.9	51.5	0.27	2.05	19.6	0.69	14.4	10.8	0.05		0.04	0.1	1338.15
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)"	2001	S-4	49.8	1.1	9.02	17.88	0.43	4	9.6	0.98	0.21		0.97	5.9	53.2	0.18	0.49	19.8	0.68	21	4.11	0.02		0.18	0.0001	1418.15
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)"	2001	S-8	52.5	0.93	11.53	14.15	0.34	2.81	8.62	1.13	0.24	0.01	1.36	6.3	51.9	0.32	1.32	14.6	0.49	13.8	17	0.12		0.14	0.0001	1398.15
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)"	2001	Sx-23	58.3	0.63	13.37	9.82	0.26	1.84	6.85	1.7	0.38	0.01	0.51	6.5	50.1	0.38	2.13	19.2	0.6	12.7	13.9	0.09		0.07	0.0001	1443.15
"Dann, J.C., Holzheid, A.H., Grove, T.L., and McSween, H.Y. (2001)"	2001	Sy-24	48.3	1.02	8.15	17.36	0.46	5.41	9.05	0.97	0.21	0.02	0.87	8.17	52.5	0.21	1.3	12.6	0.46	15.7	16.8	0.08		0.39	0.0001	1423.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	14.Jan	49.6	0.86	17	4.86	0.15	6.18	10.52	2.61	2.15	0.04		2	52.1	0.63	6.33	4.62	0.07	14.3	19.8	0.52	0.33	0.17	0.405	1423.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	14.Feb	48.7	0.85	16.35	6	0.15	6.2	10.46	2.48	2.16	0.03		2.5	51.3	0.36	3.63	5.13	0.13	15.9	21.1	0.26	0.05	0.14	0.405	1423.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	15.Jan	47.6	0.82	15.16	7.49	0.18	6.55	11.51	2.29	1.83	0.05		2.7	53.2	0.38	2.98	4.45	0.03	16.3	23.6	0.21	0.07	0.28	0.209	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	15.Mar	47	0.84	14.94	7.34	0.19	6.49	11.23	2.31	1.84	0.04	0.62	3.1	52.5	0.4	2.76	4.58	0.21	16.5	23	0.2		0.24	0.209	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	16.Jun	47.7	0.81	15.26	7.65	0.18	6.29	10.73	2.32	1.54	0.02		3.5	53.7	0.27	2.54	3.94	0.04	16.3	23.8	0.17	0.11	0.33	0.308	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	16.Jul	46.9	0.81	14.34	7.3	0.16	7.05	11.3	2.17	1.8	0.02		4	53.5	0.34	2.75	3.87	0.1	16.1	23.6	0.25	0.01	0.7	0.308	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	18.Jan	51.2	1.05	16.52	7.86	0.17	4.89	9.39	2.98	2.54	0.03		2.4	49.8	0.69	4.94	6.3	0.19	15	21.5	0.37	0.15	0.17	0.1	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	19.Mar	48.7	0.88	16.63	8.18	0.1	4.91	9.28	2.93	2.55	0.02	0.76	1.8	50.4	0.72	8.01	7	0.11	13	19.4	0.78	0.55	0.13	0.2	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	19.Apr	48.7	0.81	14.63	7.25	0.16	7.14	11.69	2.28	1.76	0.04		3.6	51.1	0.48	4.32	4.74	0.1	15.6	22.5	0.3	0.08	0.52	0.2	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	21.Apr	49.4	0.88	15.41	6.68	0.12	6.72	10.94	2.43	1.9	0.02	0.68	2.6	48.6	0.67	7.11	6.43	0.12	14	21.3	0.47	0.16	0.28	0.4	1423.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41001	46.6	0.68	15.71	6.69	0.09	7.47	11.59	2.24	1.8	0.05	0.56	2.8	48.9	0.45	5.38	5.6	0.12	15.3	21.9	0.34	0.09	0.38	0.4168	1448.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41031	47.3	0.79	16.54	5.57	0.11	6.59	10.44	2.37	1.97	0.03	0.71	3.9	50.2	0.57	5.02	4.5	0.11	15.6	22.1	0.28	0.11	0.3	0.4028	1398.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41060	50.2	0.9	17.99	5.77	0.17	4.99	9.16	2.8	2.41	0.02	0.79	2.6	49.5	0.79	7.57	6.52	0.24	14.4	20.9	0.54	0.2	0.11	0.4043	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41063	48.5	0.79	15.25	6.17	0.23	6.58	10.79	2.29	1.79	0.04	0.61	4.3	50.6	0.56	4.6	5.03	0.13	15.8	22.8	0.27	0.06	0.25	0.4043	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41090	49.1	0.9	18.09	6.04	0.16	4.9	8.91	2.75	2.38			2.9	48.8	0.83	7.33	6.44	0.19	14.2	21.4	0.47	0.24	0.1	0.4082	1348.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41091	48.7	0.87	17.54	6.4	0.16	5.16	9.27	2.6	2.1			3.3	49.9	0.71	6.39	6.37	0.13	14.9	21.1	0.43	0.18	0.09	0.4082	1348.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41092	47.7	0.8	16.62	6.56	0.14	5.09	9.66	2.36	1.43			5	49.6	0.62	5.28	5.52	0.13	15.2	22.7	0.33	0.11	0.17	0.4082	1348.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41093	48	0.83	16.07	6.56	0.13	5.34	9.66	2.26	1.44	0.02		5.2	48.9	0.84	6.02	5.99	0.16	14.6	22.7	0.28	0.06	0.15	0.4082	1348.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41152	47.6	0.81	15.16	7.28	0.19	6.37	11.42	2.25	1.86	0.05	0.65	2.6	51	0.37	2.93	4.15	0.14	16.2	23.1	0.19	0.03	0.44	0.1029	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41182	50.6	1.01	17.23	7.77	0.15	4.15	7.53	3.12	3.11	0.01	0.99	2.2	48.8	0.73	8.05	7.83	0.19	13	17.8	0.83	0.51	0.09	0.3994	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41183	48.8	0.82	17.01	7.57	0.19	5.36	8.88	2.57	2.1	0.03	0.73	3.5	48	0.64	6.53	6.94	0.13	13.8	21.5	0.37	0.1	0.14	0.3994	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41216	51.3	0.99	18.49	7.06	0.16	3.17	7.11	3.32	3.23			2.5	50.1	0.69	6.24	8.11	0.2	14.6	19.7	0.46	0.17	0.12	0.3931	1323.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41219	50	0.94	17.58	7.79	0.15	3.53	7.03	3.24	3.17			2.7	48.9	0.86	7.19	8.21	0.18	13.7	20.2	0.5	0.19	0.05	0.3931	1323.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41243	51.1	1.13	15.84	7.73	0.19	4.2	8.63	3.02	3.18	0.03	0.91	1.2	50.5	0.77	6.38	6.87	0.12	13.8	19.9	0.56	0.4	0.04	0.0484	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41244	49.8	1.12	16.58	7.58	0.2	3.95	9.21	2.91	2.92	0.05	0.92	1.7	49.3	0.76	8.52	6.62	0.23	12.4	19.2	0.76	0.56	0.1	0.0484	1373.15
"Di Carlo, I., Pichavant, M., Rotolo, S.G., Scaillet, B. (2006)"	2006	41245	51	1.04	16.49	7.65	0.14	4.88	9.8	2.78	2.32	0.01	0.85	2	49.5	0.65	5.04	6.51	0.13	14.6	20.9	0.35	0.15	0.12	0.0484	1373.15
"Draper, D.S., Green, T.H. (1999)"	1999	DGA-38	60.6	0.35	18.21	1.49		1.91	1.81	5.83	7.34				53.6	0.73	3.03	3.23		20.2	17.91	0.78			1	1423.15
"Draper, D.S., Green, T.H. (1999)"	1999	DGA-40	60.7	0.37	18.43	1.38		1.86	1.67	5.78	7.45				53.6	0.79	3.7	3.52		19.77	17.51	0.99			1.2	1423.15
"Draper, D.S., Green, T.H. (1999)"	1999	DGA-44	61	0.38	18.38	1.48		1.91	1.63	5.99	7.32				54.7	0.58	3.52	3.66		19.92	16.7	0.99			1.1	1423.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DD-13	54.7	1.84	13.04	11.79	0.19	4.7	9.34	2.32	0.72		0.21		52.1	0.43	2.53	13.55	0.35	19.62	9.38	0.23			0.0001	1448.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DD-14	55.9	2.65	12.37	11.9	0.21	3.42	8.02	2.41	0.99		0.28		50.9	0.46	2.18	14.77	0.4	19.11	9.95	0.11			0.0001	1423.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DPI-10	49.8	1.99	18.04	10.6	0.2	3.52	6.58	3.4	2.64		0.68		49.6	1.02	5.79	9.14	0.23	15.44	17.04	0.5			1	1423.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DPI-21	48.7	1.04	17.82	10.31	0.16	6.93	9.3	3.14	1.04		0.21		50.8	0.56	8.04	8.18	0.18	17.11	15.21	0.52			1	1523.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DPI-24	50.2	1.09	18.61	10.46	0.18	5.68	8.18	3.32	1.71		0.22		49.1	1.08	7.17	9.54	0.27	15.82	15.52	0.53			1	1498.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DPI-25	50.5	2.84	16.49	10.44	0.2	4.76	7.05	3.28	2.76		0.55		50.1	0.91	4.32	9.64	0.24	15.69	17	0.32			1	1448.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DPI-26	49.2	0.9	18.05	9.91	0.2	7.96	10.19	2.67	0.72		0.18		51.6	0.57	6.23	7.63	0.22	18.38	15.29	0.37			1	1548.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DPI-30	52.8	0.99	19.83	9.05	0.14	4.56	6.45	4.2	2.33		0.38		49.4	0.74	7.29	9.83	0.23	15.22	15.44	0.76			1.5	1548.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DPI-33	51.5	1.13	19.36	7.96	0.12	3.85	6.93	4.3	3.16		0.46		49.4	0.75	5.46	8.86	0.25	16.29	17.33	0.39			1	1473.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DPI-34	47.8	1.19	18.29	10.36	0.19	5.84	8.07	3.5	1.28		0.3		49.1	0.48	8.6	8.8	0.23	17.38	13.39	0.61			1.5	1598.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DPI-36	48.8	0.91	19.14	9.48	0.16	6.76	8.78	3.59	0.99		0.24		50.4	0.29	9.96	6.47	0.18	17.5	14.28	0.68			1.5	1648.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DPI-37	51	1.49	19.24	9.78	0.15	3.34	5.54	3.88	2.5		0.32		50.8	0.79	4.1	9.09	0.26	15.94	17.96	0.39			1.2	1473.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DPI-38	50.8	1.2	18.82	8.28	0.16	3.46	4.91	4.57	4.03		1.19		49.6	0.91	5.19	9.59	0.23	15.74	17.36	0.48			1.2	1498.15
"Draper, D.S., Johnston, A.D. (1992)"	1992	DPI-41	49.6	1	18.33	10.45	0.17	5.74	7.65	4.07	1.44		0.17		49.9	0.47	8.64	8.39	0.23	17.18	14.05	0.62			1.2	1548.15
